"nombre;""rut"";""estado"";""categoria"";""tipo"";""segmentos"";""region"";""comuna"";""telefono"";""dir_comercial"";""dir_despacho"";""contacto_despacho"";""despacho"";""transportadora"";""dir_transportadora"";""compras"";""cobranzas"";""recepcion"";""marcas_propias"";""marcas_competencia"";""vendedor"""
"COMERCIAL FABIAN ISMAEL AM?STICA VILLARROEL E.I.R.;""77337026-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"COMERCIAL GRUNEFELD Y COMPANIA LIMITADA;""76308687-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Valparaíso"";""San Felipe"";""+56 9 92215282"";""Chacabuco 277, San Felipe, Valparaíso"";"""";"""";""Retiro en tienda"";"""";"""";""Max Grunefeld"";"""";"""";""Ipone"";"""";"""""
"COMERCIAL H SAN MARTIN SPA;""77060448-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"COMERCIAL IR S.A.;""76361943-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone"";"""";"""""
"COMERCIAL JEREMIAS LTDA;""78225660-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Providencia"";""+56945212284"";""Av. Vitacura 9390, Providencia, Metropolitana"";""Franklin 350, Providencia, Metropolitana"";"""";""Reparto propio"";"""";"""";""Juan Vargas"";"""";"""";""Bridgestone, Ipone"";"""";"""""
"COMERCIAL LOS ARRAYANES S.A.;""78871120-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"COMERCIAL LOS CIRUELOS LTDA.;""78577180-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Motoz, Shinko"";"""";"""""
"COMERCIAL MAXI ENDURO-CROSS LIMITADA;""77324089-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Claudio Leclerc"""
"COMERCIAL REPUESTOS Y MOTOS FELIPE RIVAS E.I.R.L.;""77533707-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMERCIAL SANTIAGO CASAS BAEZ E.I.R.L.;""76633401-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMERCIAL TERRASSA SPA;""77603979-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Shinko"";"""";"""""
"COMERCIAL TOPMOTOS SPA;""77296119-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey, Bridgestone, Ipone"";"""";""Claudio Leclerc"""
"COMERCIAL Y SERVICIOS MOTOPARK;""76272306-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Gibson"";"""";"""""
"COMERCIAL Y SERVICIOS ZERO COMPRESI?N SPA;""77127666-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Monkey"";"""";"""""
"COMERCIALIZADORA ALEJANDRO IGNACIO LARA NEUMANN E.I.R.L.;""78339811-7"";""Cliente"";""3"";""Tienda de repuestos"";""Tienda"";""Metropolitana"";""Puerto Varas"";""+56 9 6444 8832"";""IMPERIAL 433, PUERTO VARAS 433, Puerto Varas, Metropolitana"";""CACEM, Puerto Varas, Metropolitana"";"""";""Reparto propio"";"""";"""";""AÑEJANDRO LARA"";"""";"""";""Motoz"";"""";"""""
"COMERCIALIZADORA DE PIEZAS Y ACCESORIOS PARA MOTOA;""77900826-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";""Macul"";"""";""pedro de valdivia 5691 local 3, macul 3, Macul"";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko, Bridgestone, Motoz"";"""";"""""
"COMERCIALIZADORA E IMPORTACIONES GUERRERO Y RODRIA;""77237395-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMERCIALIZADORA E IMPORTADORA MOTOPRO LIMITADA;""76404446-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"COMERCIALIZADORA ECB SPA;""77307227-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMERCIALIZADORA EL OLIMPICO SPA;""77362754-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Claudio Leclerc"""
"COMERCIALIZADORA EMILIO JOSE SPA;""78133178-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMERCIALIZADORA FABIAN TOLEDO GUERRERI E.I.R.L;""78123462-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Monkey"";"""";"""""
"COMERCIALIZADORA FLORES, URBINA Y YENTZEN LIMITADA;""78123408-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"COMERCIALIZADORA GM ASOCIADOS SPA;""76935453-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMERCIALIZADORA HENRY ALFONSO PATI?O WYSOCKI E.I.;""77225399-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko, Monkey, Ipone"";"""";""Claudio Leclerc"""
"COMERCIALIZADORA MARJORIE EVELYN RODRIGUEZ MUNITA E.I.R.L;""76563989-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Antofagasta"";""Antofagasta"";""+56988993610"";""Uribe 636 1008 antofagasta, Antofagasta, Antofagasta"";"""";"""";""Retiro en tienda"";"""";"""";""MACMILLAN"";"""";"""";""Bridgestone"";"""";"""""
"COMERCIALIZADORA MOTOSPORT SPA;""77842486-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";""O'Higgins"";""San Fernando"";""+56 9 9873 5969"";""Calle Tres Montes 780, San Fernando 780, San Fernando, O'Higgins"";"""";"""";""Retiro en tienda"";"""";"""";""MARIANO SOLAR"";"""";"""";""Ipone, Shinko"";"""";"""""
"COMERCIALIZADORA MOTOURING CHILE LTDA;""76942440-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"COMERCIALIZADORA MUNDO TUNING SPA;""78007721-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"COMERCIALIZADORA ROSALES Y LOPEZ LIMITADA;""77649747-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Claudio Leclerc"""
"Comercializadora Sianomoto Spa;""78285058-k"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""La Florida"";""+56939560539"";""Av. Concha y Toro 3097, La Florida, Metropolitana"";"""";"""";""Retiro en tienda"";"""";"""";""Luciano Medina"";"""";"""";""Ipone"";"""";""Sebastián Agusto"""
"COMERCIALIZADORA SUMINISTROS ANDINOS SPA;""78032493-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMERCIO CARLOS ALBERTO PARRA ZAPATA E.I.R.L;""76485453-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMPANIA DE EFICIENCIAS Y LABORES AGRICOLAS;""76376508-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";""+56 9 3261 5199"";"""";"""";"""";""Retiro en tienda"";"""";"""";""Valeria Cornejo"";"""";"""";""Gibson, Ipone, Monkey"";"""";"""""
"CONSTANZA ISLAVIA MIRANDA CANCINO;""16910364-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"CONSTRUCTORA BRICENO Y CIA LTDA;""87867400-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey"";"""";"""""
"CONSTRUCTORA VB SPA;""77958108-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CRHISTIAN GABRIEL JAYMEZ QUI?ONES;""8659222-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey"";"""";"""""
"CRISTIAN ALEJANDRO ESPEJO MERCADO;""15024867-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"CRISTIAN ALEJANDRO LOO VERDEJO;""19486032-3"";""Cliente"";""3"";""Tienda de repuestos"";""Tienda"";""Valparaíso"";""Limache"";""+56964812704"";""Republica 101, Limache, Valparaíso"";""Vayve, Limache, Valparaíso"";"""";""Reparto propio"";"""";"""";""Cristian Loo"";"""";"""";""Bridgestone, Gibson, Ipone, Shinko"";"""";""Claudio Leclerc"""
"CRISTIAN CORNEJO AHUMADA;""14546611-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Shinko, Monkey"";"""";"""""
"CRISTIAN LARRAIN REYES;""10844186-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Ipone, Motoz"";"""";"""""
"CRISTIAN LENGERICH VALDERRAMA;""8433342-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CRISTIAN MARCELO HUEICHA JIMENEZ;""18281822-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Monkey"";"""";"""""
"CRISTIAN ROGEL;""14098073-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Gibson"";"""";"""""
"CRISTOBAL HERNAN CARRASCO URZUA;""20164871-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"CRISTOBAL MOMARES;""13669924-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Gibson, Ipone"";"""";"""""
"CRISTOBAL PRIETO;""20827318-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";""+56965963478"";""LAS HUALTATAS 4334, DEPTO 301"";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone"";"""";"""""
"CUADERNOSCL SPA;""77722303-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko, Ipone, Motoz"";"""";"""""
"CURAUMA MOTOS SPA;""77999691-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CV MOTOS SPA;""76466652-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Gibson, Ipone, Shinko, Monkey"";"""";""Claudio Leclerc"""
"CVC NAUTICA SUR SPA;""77367675-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"D&P MOTO RACING LIMITADA;""76983515-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Claudio Leclerc"""
"DAMIAN HERRERA;""21698211-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"DANIEL ALFREDO ALVARADO MAR?N;""17160248-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"DANIEL ISRAEL GONZALEZ CONCHA;""18527854-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"DARIO MARTINEZ;""13472884-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"DARWIN CAMPOS ESCOBEDO;""16389984-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Monkey"";"""";"""""
"DARWIN CORTEZ;""12394988-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"DATA IMPACT BUSINESS SOLUTIONS SPA;""78000816-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz, Ipone"";"""";"""""
"DIEGO ANTONIO HERNANDEZ SALAZAR;""18350398-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"DIEGO FELIPE PRADENAS GUERRERO;""18098403-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"DIP MOTO;""76534560-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz"";"""";""Claudio Leclerc"""
"DISTRIBUIDORA CHILENA DE MOTOCICLETAS S A;""96993820-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz, Shinko"";"""";"""""
"DISTRITHUNDER SOLUCIONES SPA;""76972592-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko, Ipone"";"""";""Claudio Leclerc"""
"DOBLE CILINDRO SPA;""77.142.749-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""La Florida"";""+56971792986"";""AV. TRINIDAD ORIENTE 175, La Florida, Metropolitana"";"""";"""";""Retiro en tienda"";"""";"""";""ESTEBAN"";"""";"""";""Ipone"";"""";""Sebastián Agusto"""
"DYNO RACING;""77241978-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";""Macul"";""+56 9 79094448"";""Avda Macul 4394, Macul"";"""";"""";""Retiro en tienda"";"""";"""";""Jose Luis Leon"";"""";"""";""Ipone, Bridgestone"";"""";""Claudio Leclerc"""
"EASY RIDER MOTORSHOP SPA;""76868187-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"EDUARDO ANDRES BENTJERODT VASQUEZ;""10812118-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz"";"""";"""""
"EDUARDO ANTONIO VALENCIA ZAMORANO;""12900267-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"EL CHEMA SPA;""77880477-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ELITE MOTOS;""77518702-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Santiago"";""+56 9 3461 3809"";""Chiloe 1980, Santiago Centro 1980, Santiago, Metropolitana"";"""";"""";""Retiro en tienda"";"""";"""";""Elite Motos"";"""";"""";""Ipone"";"""";"""""
"ELIZABETH CAREN PENA LETELIER;""16375730-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"ELSIE ALFARO ALFONSO;""14720151-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"EMAGBMX CIA LTDA;""76226101-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";""+56 9 6248 2885"";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Motoz, Shinko"";"""";"""""
"EME MOTOS SPA;""77407524-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"EMILIO GABRIEL VEGA MEZA;""13045524-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"ENDUMOTOS MR SPA;""77518156-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Colina"";""56936828980"";""EL ALBA 3 PARCELA 35, Colina, Metropolitana"";"""";"""";""Retiro en tienda"";"""";"""";""MATIAS"";"""";"""";""Ipone, Motoz, Bridgestone, Shinko"";"""";""Sebastián Agusto"""
"ENDURO PRO SPA;""76497111-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""GT-Oil, Ipone, Motoz"";"""";""Claudio Leclerc"""
"EQUIPOS Y EXPEDICIONES LIMITADA;""76618478-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Shinko"";"""";"""""
"ERIC FERNANDO ALDARET RAMIREZ;""18285763-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ESR MOTOS (NO USAR);""6271057-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Motoz"";"""";"""""
"Esteban Aburto;""19410184-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"ESTEBAN ANDRES SAN MARTIN OCAMPO;""19481365-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"EUGENIO HERNAN JIMENEZ SOLIS;""13345907-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko, Monkey"";"""";"""""
"EXTINTORES MAURICIO VALENZANO REYES E.I.R.L;""76733099-5"";""Cliente"";""3"";""Tienda de repuestos"";""Tienda"";""O'Higgins"";""Santa Cruz"";"""";""GONZALO BULNES 45,5 45,5, Santa Cruz, O'Higgins"";""VILCHES, Santa Cruz, O'Higgins"";"""";""Reparto propio"";"""";"""";"""";"""";"""";""Bridgestone, Ipone, Shinko, Monkey"";"""";"""""
"EXTREMOTO COMPRA Y VENTA DE REPUESTOS LUBRICANTP;""76090078-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey, Bridgestone"";"""";""Claudio Leclerc"""
"FABIO LEONARDO SAID RODOVALHO;""18160949-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Santiago"";"""";""Alonso de Cordova 5045, 1204, Santiago, Metropolitana"";""STARKEN, Santiago, Metropolitana"";"""";""Reparto propio"";"""";"""";"""";"""";"""";"""";"""";"""""
"FACTORY STORE SPA;""77382854-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"Felipe Andr?s Jodorkovsky Ventura;""18640996-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"FLAVIO SILVA;""17029193-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"FLO CABRERA;""78362549-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";""+56973409487"";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone"";"""";"""""
"FOXER MOTORS SPA;""78242306-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Sebastián Agusto"""
"FRANCISCA ANGEL RODRIGUEZ;""18982216-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""GT-Oil, Ipone"";"""";"""""
"FRANCISCO EDUARDO ARAYA MORAGA;""18056467-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"FRANCISCO JAVIER ANGEL ARAYA;""17828353-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"FRANCISCO MAURICIO GUZMAN SEPULVEDA;""10219263-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Biobío"";""Los Angeles"";""56 9 98473216"";""Galvarino 355, Los Angeles, Biobío"";"""";"""";""Retiro en tienda"";"""";"""";""Francisco Mauricio Guzman"";"""";"""";""Ipone, Shinko, Monkey"";"""";""Claudio Leclerc"""
"FRANCO PETROWITSCH LOPEZ;""19690068-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Motoz, Monkey"";"""";"""""
"FRITZ MOTOSTORE SPA;""77132766-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko, Monkey, Ipone"";"""";""Claudio Leclerc"""
"FUENZALIDA LARRAIN SPA;""77190996-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Gibson, Shinko"";"""";"""""
"FUNDACION REINVENTARSE;""65070018-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"FUNTEC SERVICIOS SPA;""76366613-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"GABRIEL BALUT GALEB;""17117419-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz"";"""";"""""
"GABRIEL PAREDES GALLARDO;""21837107-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";""+56986922691"";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"GALGA PUBLICIDAD SPA;""77828727-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"GB MOTORSPORT SPA;""78016947-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Bridgestone"";"""";"""""
"GC INVERSIONES SPA;""77717091-0"";""Cliente"";""3"";""Tienda de repuestos"";""Tienda"";"""";""Macul"";""+56 9 3705 7246"";""Exequiel Fernández 2995, Macul, Chile 2995, Macul"";"""";"""";""Retiro en tienda"";"""";"""";""Noel"";"""";"""";""Bridgestone, Gibson, Ipone, Motoz, Shinko, Monkey"";"""";"""""
"GERARDO ANTONIO VALDES ABARCA;""9814852-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Gibson, Ipone, Monkey"";"""";""Claudio Leclerc"""
